code|description_serbian|description_latin
D05.7|"Drugi karcinom ""in situ"" dojke"|Carcinoma in situ mammae,alia
D05.9|"Karcinom ""in situ"" dojke, neoznačen"|Carcinoma in situ mammae,non specificatum
D06|"Karcinom-rak ""in situ"" grlića materice"|Carcinoma in situ cervicis uteri
D06.0|"Karcinom ""in situ"" unutrašnjosti grlića materice"|Carcinoma in situ endocervicis uteri
D06.1|"Karcinom ""in situ"" spoljašnjosti grlića materice"|Carcinoma in situ exocervicis uteri
D06.7|"Karcinom ""in situ"" drugih delova grlića materice"|Carcinoma in situ partium cervicis uteri aliarum
D06.9|"Karcinom ""in situ"" grlića materice, neoznačen"|Carcinoma in situ cervicis uteri,non specificatum
D07|"Karcinom - rak ""in situ"" drugih i neoznačenih polnih organa"|Carcinoma in situ genitaliorum aliorum
D07.0|"Karcinom ""in situ"" sluznice materice"|Carcinoma in situ endometrii
D07.1|"Karcinom ""in situ"" stidnice"|Carcinoma in situ vulvae
D07.2|"Karcinom ""in situ"" usmine"|Carcinoma in situ vaginae
D07.3|"Karcinom ""in situ"" drugih ženskih polnih organa"|Carcinoma in situ genitaliorum femininorum aliorum
D07.4|"Karcinom ""in situ"" uda"|Carcinoma in situ penis
D07.5|"Karcinom ""in situ"" kestenjače"|Carcinoma in situ prostatae
D07.6|"Karcinom ""in situ"" drugih muških polnih organa"|Carcinoma in situ genitaliorum masculinorum aliorum
D09|"Karcinom - rak ""in situ"" drugih neoznačenih lokalizacija"|Carcinoma in situ, locorum aliorum,non specificatorum
D10|Dobroćudni tumor usne,usta i ždrela|Neoplasma benignum labii,oris et pharyngis
D10.0|Dobroćudni tumor usne|Neoplasma benignum labii
D10.1|Dobroćudni tumor jezika|Neoplasma benignum linguee
D10.2|Dobroćudni tumor dna usta|Neoplasma benignum basis oris
D10.3|Dobroćudni tumor drugih delova usta|Neoplasma benignum partium oris ,aliarum
D10.4|Dobroćudni tumor krajnika|Neoplasma benignum tonsillae
D10.5|Dobroćudni tumor drugih delova usnog ždrela|Neoplasma benignum oropharygis,partium aliorum
D10.6|Dobroćudni tumor nosnog dela ždrela|Neoplasma benignum nasopharyngis
D10.7|Dobroćudni tumor donjeg dela ždrela|Neoplasma benignum hypopharyngis
D10.9|Dobroćudni tumor ždrela,neoznačen|Neoplasma benignum pharyngis,non specificatum
D11|Dobroćudni tumor velikih pljuvačnih žlezda|Neoplasma benignum glandularum salivarium majorum
D11.0|Dobroćudni tumor doušne pljuvačne žlezde|Neoplasma benignum glandulae parotidis
D11.7|Dobroćudni tumor drugih velikih pljuvačnih žlezda|Neoplasma benignum glandularum salivarium majorum, aliarum
D11.9|Dobroćudni tumor velike pljuvačne žlezde, neoznačen|Neoplasma benignum glandulae salivaris majoris, non specificatum
D12|Dobroćudni tumor debelog creva, zadnjeg creva, čmara i čmarnog kanala|Neoplasma benignum coli,recti, ani et canalis analis
D12.0|Dobroćudni tumor slepog creva|Neoplasma benignum caeci
D12.1|Dobroćudni tumor crvuljka|Neoplasma benignum appendicis
D12.2|Dobroćudni tumor uzlaznog dela debelog creva|Neoplasma benignum coli ascendentis
D12.3|Dobroćudni tumor poprečnog dela debelog creva|Neoplasma benignum coli transversi
D12.4|Dobroćudni tumor silaznog dela debelog creva|Neoplasma benignum coli descendentis
D12.5|Dobroćudni tumor izvijenog dela debelog creva|Neoplasma benignum coli sigmoidis
D12.6|Dobroćudni tumor debelog creva neoznačen|Neoplasma benignum coli,non specificatum
D12.7|Dobroćudni tumor spojnice pravog i uvijenog creva|Neoplasma benignum juncturae, rectosigmoidis
D12.8|Dobroćudni tumor zadnjeg creva|Neplasma benignum recti
D12.9|Dobroćudni tumor čmara i čmarnog kanala|Neoplasma benignum ani et canalis analis
D13|Dobroćudni tumor drugih delova za varenje|Neoplasma benignum systematis digestivi, partium aliarum
D13.0|Dobroćudni tumor jednjaka|Neoplasma benignum oesophagi
D13.1|Dobroćudni tumor želuca|Neoplasma benignum ventriculi
D13.2|Dobroćudni tumor dvanaestopalačnog creva|Neoplasma benignum duodeni
D13.3|Dobroćudni tumor drugih delova tankog creva|Neoplasma benignum intestini tenuis, partium aliarum
D13.4|Dobroćudni tumor jetre|Neoplasma benignum hepatis
D13.5|Dobroćudni tumor vanjetrenih žučnih puteva|Neoplasma benignum ductuum billarium extrahepaticorum
D13.6|Dobroćudni tumor gušterače|Neoplasma benignum pancreatis
D13.7|Dobroćudni tumor endokrinog dela guštera|Neoplasma benignum pancreatis endocrini
D13.9|Dobroćudni tumor delova sistema za varenje, neoznačen|Neoplasma benignum systematis digestivi, partium non specificatum
D14|Dobroćudni tumor srednjeg uva i organa za disanje|Neoplasma benignum auris mediae et organorum respiratoriorum
D14.0|Dobroćudni tumor srednjeg uva, nosne šupljine i nosnih sisnusa|Neoplasma benignum auris medine,cavi nasi et sinuum nasi
D14.1|Dobroćudni tumor grkljana|Neoplasma benignum laryngis
D14.2|Dobroćudni tumor dušnika|Neoplasma benignum tracheae
D14.3|Dobroćudni tumor dušnice i pluća|Neoplasma benignum bronchi et pulmonis
D14.4|Dobroćudni tumor disajnog sistema neoznnačen|Neoplasma benignum systematis respiratorii non specificatum
D15|Dobroćudni tumor drugih organa grudne duplje|Neoplasma benignum organorum intrathoracalium aliorum
D15.0|Dobroćudni tumor grudne žlezde|Neoplasma benignum thymi
D15.1|Dobroćudni tumor srca|Neoplasma benignum cordis
D15.2|Dobroćudni tumor sredogruđa|Neoplasma benignum mediastini
D15.7|Dobroćudni tumor drugih označenih organa grudne duplje|Neoplasma benignum organorum intrathoracalium aliorum, specificatorum
D15.9|Dobroćudni tumor organa grudne duplje, neoznačen|Neoplasma benignum organorum intrathoracaliumn non specificatum
D16|Dobroćudni tumor kosti i zglobne hrskavice|Neoplasma benignum ossis et cartilaginis articuli
D16.0|Dobroćudni tumor lopatice i dugih kostiju ruke|Neoplasma benignum scapulae et ossium longorum extremitatis superioris
D16.1|Dobroćudni tumor kratkih kostiju ruke|Neoplasma benignum ossium brevium extremitatis superioris
D16.2|Dobroćudni tumor dugih kostiju noge|Neoplasma benignum ossium longorum extremitatis interioris
D16.3|Dobroćudni tumor kratkih kostiju noge|Neoplasma benignum ossium brevium extremitatis inferioris
D16.4|Dobroćudni tumor kostiju glave i lica|Neoplasma benignum ossium cranii et faciei
D16.5|Dobroćudni tumor donje vilice|Neoplasma benignum mandibulae
D16.6|Dobroćudni tumor kičmenog stuba|Neoplasma benignum columnae vertebralis
D16.7|Dobroćudni tumor rebra, grudne kosti i ključnjače|Neoplasma benignum costae,sterni et claviculae
D16.8|Dobroćudni tumor kostiju karlice, krsne i trtične kosti|Neoplasma benignum ossium pelvis,ossis sacri et ossis coccygis
D16.9|Dobroćudni tumor kosti i zglobne hrskavice, neoznačen|Neoplasma benignum ossis et cartilaginis articuli, non specificatum
D17|Dobroćudni tumor masnog tkiva|Neoplasma benignum lipomatosum
D17.0|Dobroćudni tumor masnog tkiva kože i potkožnog tkiva glave, lica i vrata|Neoplasma benignum lipomatosum cutis et subcutis capitis, faciei et coli
D17.1|Dobroćudni tumor masnog tkiva kože i potkožnog tkiva trupa|Neoplasma benignum lipomatosum cutis et subcutis trunci
D17.2|Dobroćudni tumor masnog tkiva kože i potkožnog tkiva udova|Neoplasma benignum lipomatosum cutis et subcutis
D17.3|Dobroćudni tumor masnog tkiva kože i potkožnog tkiva drugih lokalizacija|Neoplasma benignum lipomatosum cutis et subcutis, locorum aliorum
D17.4|Dobroćudni tumor masnog tkiva organa grudne duplje|Neoplasma benignum lipomatosum organorum intrathoracalium
D17.5|Dobroćudni tumor masnog tkiva trbušnih organa|Neoplasma benignum lipomatosum organorum abdominalium
D17.6|Dobroćudni tumor masnog tkiva semene vrpce|Neoplasma benignum lipomatosum funici spermatici
D17.7|Dobroćudni tumor masnog tkiva drugih lokalizacija|Neoplasma benignum lipomatosum, locorum aliorum
D17.9|Dobroćudni tumor masnog tkiva,neoznačen|Neoplasma benignum lipomatosum,non specificatum
D18|Tumor krvnih sidova i limfe, neoznačene lokalizacije|Haemangioma et lymphangioma,loci non specificati
D18.0|Tumor krvnih sudova|Haemangioma
D18.1|Tumor limfnih sudova|Lymphangioma
D19|Dobroćudni tumor mezotela|Neoplasma benignum mesothelii (Mesothelioma)
D19.0|Dobroćudni tumor mezotela poplućnice|Mesothelioma pleurae
D19.1|Dobroćudni tumor mezotela potrbušnice|Mesothelioma peritonaei
D19.7|Dobroćudni tumor mezotela druge lokalizacije|Mesothelioma,loci alterius
D19.9|Dobroćudni tumor mezotela, neoznačen|Mesothelioma,non specificatum
D20|Dobroćudni tumor mekog tkiva potrbušnice i iza nje|Neoplasma benignum textus mollis peritonaei et retroperitonaei
D20.0|Dobroćudni tumor mekog tkiva iza potrbušnice|Neoplasma benignum textus mollis retroperitonaei
D20.1|Dobroćudni tumor mekog tkiva potrbušnice|Neoplasma benignum textus mollis peritonaei
D21|Dobroćudni tumor vezivnog i drugih mekih tkiva|Neoplasma benignum textus connexivi et textuum connexivi aliorum, aliud
D21.0|Dobroćudni tumor vezivnog i drugog mekog tkiva glave, lica i vrata|Neoplasma benignum textus connexivi et textuum mollium capitis, faciei et colli aliorum
D21.1|Dobroćudni tumor vezivnog i drugih mekih tkiva ruke, uključujući rame|Neoplasma benignum textus connexivi et textuum mollium extremitatis superioris aliorum,omam inludens
D21.2|Dobroćudni tumor vezivnog i drugih mekih tkiva noge, uključujući predeo karlice|Neoplasma benignum textus connexivi et textuum mollium extremit.inferioris aliorum,regionem coxam in
D21.3|Dobroćudni tumor vezivnog i drugih mekih tkiva grudnog koša|Neoplasma benignum textus connexivi et textuum mollium thoracis aliorum
D21.4|Dobroćudni tumor vezivnog i drugih mekih tkiva trbuha|Neoplasma benignum textus connexivi et textuum mollium abdominis aliorum
D21.5|Dobroćudni tumor vezivnog i drugih mekih tkiva karlice|Neoplasma benignum textus connexivi et textuum mollium pelvis aliorum
D21.6|Dobroćudni tumor vezivnog i drugih mekih tkiva trupa, neoznačen|Neoplasma benignum textus connexivi et et textuum mollium trunci alior.,non specificatum
D21.9|Dobroćudni tumor vezivnog i drugih mekih tkiva, neoznačen|Neoplasma benignum textus connexivi et textuum mollium, non specificatum
D22|Mladež|Naevus melanocyticus
D22.0|Mladež usne|Naevus melanocyticus labii
D22.1|Mladež kapka oka,uključujući ugao oka|Naevus melanocyticus palpebrae,canthum includens
D22.2|Mladež uva i spoljnjeg ušnog kanala|Naevus melanocyticus auris et canalis auris externi
D22.3|Mladež drugih lokalizacija lica|Naevus melanocyticus,locorum faciei aliorum
D22.4|Mladež poglavine i vrata|Naevus melanocyiticus capillitii et colli
D22.5|Mladež trupa|Naevus melanocyticus trunci
D22.6|Mladež ruke,uključujući rame|Naevus melanocyticus extremitatis superioris,omam includens
D22.7|Mladež noge,uključujući predeo karlične kosti|Naevus melanocyticus extremitatis inferioris,regionem coxam includens
D22.9|Mladež,neoznačen|Naevus melanocyticus,non specificatus
D23|Drugi dobroćudni tumor kože|Neoplasma benignum cutis aliud
D23.0|Dobroćudni tumor kože usne|Neoplasma benignum cutis labii
D23.1|Dobroćudni tumor kože kapka oka,uključujući ugao oka|Neoplasma benignum cutis palpebrae,canthum includens
D23.2|Dobroćudni tumor kože uva i spoljašnjeg ušnog kanala|Neoplasma benignum cutis auris et canalis auris externi
D23.3|Dobroćudni tumor kože drugih i neoznačenih delova lica|Neoplasma benignum cutis faciei,partium aliarum et non specificatarum
D23.4|Dobroćudni tumor kože poglavine i vrata|Neoplasma benignum cutis capillitii et colli
D23.5|Dobroćudni tumor kože trupa|Neoplasma benignum cutis trunci
D23.6|Dobroćudni tumor kože ruke,uključujući rame|Neoplasma benignum cutis extremitatis superioris,omam includens
D23.7|Dobroćudni tumor kože noge,uključujući predeo karlične kosti|Neoplasma benignum cutis extremitatis inferioris,regionem coxam includens
D23.9|Dobroćudni tumor kože,neoznačen|Neoplasma benignum cutis, non specificatum
D24|Dobroćudni tumor dojke|Neoplasma benignum mammae
D25|Tumor glatkog mišića materice|Leiomyoma uteri
D25.0|Podsluznični tumor glatkog mišića materice|Leiomyoma submucosum uteri
D25.1|Tumor glatkog mišića zida materice|Leiomyoma uteri intramurale
D25.2|Tumor glatkog mišića ispod serozne opne materice|Leiomyoma subserosum uteri
D25.9|Tumor glatkog mišića materice,neoznačen|Leiomyoma uteri,non specificatum
D26|Drugi dobroćudni tumori matrice|Neoplasmata benigna uteri alia
D26.0|Dobroćudni tumor grlića materice|Neoplasma benignum cervicis uteri
D26.1|Dobroćudni tumor tela materice|Neoplasma benignum corporis uteri
D26.7|Dobroćudni tumor drugih delova materice|Neoplasma benignum partium uteri aliarum
D26.9|Dobroćudni tumor materice,neoznačen|Neoplasma benignum uteri,non specificatum
D27|Dobroćudni tumor jajnika|Neoplasma benignum ovarii
D28|Dobroćudni tumor drugih ženskih polnih organa.|Neoplasma benignum genitaliorum femintnorum aliorum
D28.0|Dobroćudni tumor stidnice|Neoplasma benignum vulvae
D28.1|Dobroćudni tumor usmine|Neoplasma benignum vaginae
D28.2|Dobroćudni tumor jajovoda i veza materice|Neoplasma benignum tubae uterinae et ligamentorum
D28.7|Dobroćudni tumor drugih označenih ženskih polnih organa|Neoplasma benignum genitaliorum femininorum specificatorum,aliorum
D28.9|Dobroćudni tumor ženskih polnih organa,neoznačen|Neoplasma benignum genitaliorum femininorum,non specificatum
D29|Dobroćudni tumor muških polnih organa|Neoplasma benignum genitaliorum masculinorum
D29.0|Dobroćudni tumor uda|Neoplasma benignum penis
D29.1|Dobroćudni tumor kestenjače|Neoplasma benignum prostatae
D29.2|Dobroćudni tumor semenika|Neoplasma benignum testis
D29.3|Dobroćudni tumor pasemenika|Neoplasma epididymitis
D29.4|Dobroćudni tumor mošnice|Neoplasma benignum scroti
D29.7|Dobroćudni tumor drugih označenih muških polnih organa|Neoplasma benignum genitaliorum masculinorum specificatorum,aliorum
D29.9|Dobroćudni tumor muških polnih organa,neoznačen|Neoplasma benignum genitaliorum masculinorum,non specificatum
D30|Dobroćudni tumor mokraćnih organa|Neoplasma benignum organorum urinariorum
D30.0|Dobroćudni tumor bubrega|Neoplasma benignum renis
D30.1|Dobroćudni tumor karlice bubrega|Neoplasma benignum pelvis renis
D30.2|Dobroćudni tumor mokraćnih organa|Neoplasma benignum ureteris
D30.3|Dobroćudni tumor mokraćne bešike|Neoplasma benignum vesicae urinariae
D30.4|Dobroćudni tumor mokraćovoda bešike|Neoplasma benignum urethrae
D30.7|Dobroćudni tumor drugih mokraćnih organa|Neoplasma benignum organorum urinariorum aliorum
D30.9|Dobroćudni tumor drugih mokraćnih organa, neoznačen|Neoplasma benignum organorum urinariorum,non specificatum
D31|Dobroćudni tumor oka i pripojaka oka|Neoplasma benignum oculi et adnexorum oculi
D31.0|Dobroćudni tumor vežnjače|Neoplasma benignum conjuctivae
D31.1|Dobroćudni tumor rožnjače|Neoplasma benignum corneae
D31.2|Dobroćudni tumor mrežnjače|Neoplasma benignum retinae
D31.3|Dobroćudni tumor sudovnjače|Neoplasma benignum chorioideae
D31.4|Dobroćudni tumor zrakastog tela|Neoplasma benignum corporis ciliaris
D31.5|Dobroćudni tumor suzne žlezde i suznog kanala|Neoplasma benignum glandulae et ductus lacrimalis
D31.6|Dobroćudni tumor očne duplje,neoznačen|Neoplasma benignum orbitae,non specificatum
D31.9|Dobroćudni tumor oka,neoznačen|Neoplasma benignum oculi,non specificatum
D32|Dobroćudni tumor moždanica|Neoplasma benignum meningium
D32.0|Dobroćudni tumor moždanice|Neoplasma benignum meningium intracraniale
D32.1|Dobroćudni tumor opni kičmene moždine|Neoplasma benignum meningium medullae spinalis
D32.9|Dobroćudni tumor moždanica,neoznačen|Neoplasma benignum meningium,non specificatum
D33|Dobroćudni tumori mozga i drugih delova centralnog nervnog sistema|Neoplasmata benigna cerebri et systematis nervosi ceniralis,partium aliorum
D33.0|Dobroćudni tumor mozga,iznad šatora mozga|Neoplasma benignum cerebri supratentoriale
D33.1|Dobroćudni tumor mozga,ispod šatora mozga|Neoplasma benignum cerebri intratentoriale
D33.2|Dobroćudni tumor mozga,neoznačen|Neoplasma benignum cerebri,non specificatum
D33.3|Dobroćudni tumor živca mozga|Neoplasma benignum nervi cranialis
D33.4|Dobroćudni tumor kičmene moždine|Neoplasma benignum medullae spinalis
D33.7|Dobroćudni tumor drugih označenih delova centralnog nervnog sistema|Neoplasma benignum systematis nervosi centralis,partium aliarum specificatarum
D33.9|Dobroćudni tumor centralnog nervnog sistema,neoznačen|Neoplasma benignum systematis nervosi centralis,non specificatum
D34|Dobroćudni tumor štitaste žlezde|Neoplasma benignum glandulae thyreoideae
D35|Dobroćudni tumor drugih žlezda sa unutrašnjim lučenjem|Neoplasma benignum glandularum endocrinarum aliarum
D35.0|Dobroćudni tumor nadbubrežne žlezde|Neoplasma benignum glandulae suprarenalis
D35.1|Dobroćudni tumor paraštitaste žlezde|Neoplasma benignum glandulae parathyreoideae
D35.2|Dobroćudni tumor hipofizne žlezde|Neoplasma benignum glandulae pituitariae
D35.3|Dobroćudni tumor lobanjsko-ždrelnog kanala|Neoplasma benignum ductus craniopharyngici
D35.4|Dobroćudni tumor pinealne žlezde|Neoplasma benignum corporis pinealls
D35.5|Dobroćudni tumor karotidnog telašca|Neoplasma benignum corporis carotici
D35.6|Dobroćudni tumor aortnog telašca i drugih okolnih nervnih čvorova.|Neoplasma benignum corporis paraaortici et paragangliorum aliorum
D35.7|Dobroćudni tumor druge označene žlezde sa unutrašnjim lučenjem|Neoplasma benignum glandulae endocrinae alterius
D35.8|Dobroćudni tumor više žlezda|Neoplasma benignum pluriglandulare
D35.9|Dobroćudni tumor žlezde sa unutrašnjim lučenjem,neoznačen|Neoplasma benignum glandulae endocrinae,non specificatum
D36|Drugi dobroćudni tumor|Neoplasma benignum aliud
D37|Tumor usta i organa za varenje|Neoplasma oris et organorum systematis digestivi
D37.0|Tumor usne,usta i ždrela|Neoplasma labii,oris et pharyngis
D37.1|Tumor želuca|Neoplasma ventriculi
D37.2|Tumor tankog creva|Neoplasma intestini tenuis
D37.3|Tumor slepog creva|Neoplasma appendicis
D37.4|Tumor debelog creva|Neoplasma coli
D37.5|Tumor završnog creva|Neoplasma recti
D37.6|Tumor jetre i žučnih kanala|Neoplasma hepatis et ductuum billarium
D37.7|Tumor drugih organa sistema za varenje|Neoplasma organorum systematis digestivi aliorum
D37.9|Tumor organa za varenje,neoznačen|Neoplasma organorum systematis digestivi,non specificatum
D38|Tumor srednjeg uva,organa za disanje i grudne duplje|Neoplasma auris mediae, organorum respiratoriorum et intrathoracalium
D38.0|Tumor grkljana|Neoplasma laryngis
D38.1|Tumor dušnika,dušnice i pluća|Neoplasma tracheae,bronchi et pulmonis
D38.2|Tumor poplućnice|Neoplasma pleurae
D38.3|Tumor sredogruđa|Neoplasma mediastini
D38.4|Tumor grudne žlezde|Neoplasma thymi
D38.5|Tumor drugih organa za disanje,neoznačen|Neoplasma organorum respiratoriorum aliorum
D38.9|Tumor drugih organa za disanje,neoznačen|Neoplasma organi respiratorii,non specificatum
D39|Tumor ženskih polnih organa|Neoplasma genitaliorum femininorum
D39.0|Tumor materice|Neoplasma uteri
D39.1|Tumor jajnika|Neoplasma ovarii
D39.2|Tumor posteljice|Neoplasma placentae
D39.7|Tumor drugih ženskih polnih organa|Neoplasma genitaliorum femininorum aliorum
D39.9|Tumor ženskih polnih organa,neoznačen|Neoplasma genitaliorum femininorum,non specificatum
D40|Tumor muških polnih organa|Neoplasma genitaliorum masculinorum
D40.0|Tumor kestenjače|Neoplasma prostatae
D40.1|Tumor semenika|Neoplasma testis
D40.7|Tumor drugih muških polnih organa|Neoplasma genitaliorum masculinorum aliorum
D40.9|Tumor muških polnih organa,neoznačen|Neoplasma genitaliorum masculinorum,non specificatum
D41|Tumor mokraćnih organa|Neoplasma organorum urinariorum
D41.0|Tumor bubrega|Neoplasma renis
D41.1|Tumor karlice bubrega|Neoplasma pelvis renis
D41.2|Tumor mokraćovoda bubrega|Neoplasma ureteris
D41.3|Tumor mokraćovoda bešike|Neoplasma urethrae
D41.4|Tumor mokraćne bešike|Neoplasma vesicae urinariae
D41.7|Drugi tumor mokraćnih organa|Neoplasma organorum urinariorum aliorum
D41.9|Tumor mokraćnog organa,neoznačen|Neoplasma organi urinarii,non specificatum
D42|Tumor moždanica|Neoplasma meningium
D42.0|Tumor moždanica mozga|Neoplasma meningis cerebri
D42.1|Tumor opne kičmene moždine|Neoplasma meningium medullae spinalis
D42.9|Tumor moždanice,neoznačen|Neoplasma meningis,non specificatum
D43|Tumori mozga i centralnog nervnog sistema|Neoplasmata cerebri et systematis nervosi centralis
D43.0|Tumor mozga, iznad šatora mozga|Neoplasma cerebri supratentoriale
D43.1|Tumor mozga,ispod šatora mozga|Neoplasma cerebri infratentoriale
D43.2|Tumor mozga|Neoplasma cerebri
D43.3|Tumor živca|Neoplasma nervi cranialie
D43.4|Tumor kičmene moždine|Neoplasma medullae spinalis
D43.7|Tumor drugih delova centralnog nervnog sistema|Neoplasma systematis nervosi centralis,partium aliorum
D43.9|Tumor centralnog nervnog sistema, neoznačen|Neoplasma systematis nervosi centralis,non specificatum
D44|Tumor žlezde sa unutrašnjim lučenjem|Neoplasma glandulae endocrinae
D44.0|Tumor štitaste žlezde|Neoplasma glandulae thyreoideae
D44.1|Tumor nadbubrežne žlezde|Neoplasma glandulae suprarenalis
D44.2|Tumor paraštitaste žlezde|Neoplasma glandulae parathyreoideae
D44.3|Tumor žlezde hipofize|Neoplasma glandulae pituitariae
D44.4|Tumor lobanjsko ždrelnog kanala|Neoplasma ductus craniopharyngici
D44.5|Tumor pinealne žlezde|Neoplasma corporis pinealis
D44.6|Tumor telašca glavne arterije vrata|Neoplasma corporis carotici
D44.7|Tumor aortnog telašca|Neoplasma corporis aortici
D44.8|Tumor više žlezda|Neoplasma pluriglandulare
D44.9|Tumor žlezde sa unutrašnjim lučenjem,neoznačen|Neoplasma glandulae endocrinae,non specificatum
D45|Povećanje broja ćelija krvi|Polycythaemia vera
D46|Sindromni poremećaji mijeloidne loze|Syndrornae myelodysplasticae
D46.0|Uporna slabokrvnost bez sideroblasta|Anaemia retractaria sine sideroblastis
D46.1|Uporna slabokrvnost sa sideroblastima|Anaemia refractaria cum sideroblastis
D46.2|Uporna slabokrvnost sa viškom blasta|Anaemia refractaria cum nimio blastorum
D46.3|Uporna slabokrvnost sa viškom blasta u transformaciji|Anaemia retractaria cum nimio blastorum in trasformatione
D46.4|Uporna slabokrvnost,neoznačena|Anaemia refractaria,non specificata
D46.7|Drugi mijelodisplazijski sindromi|Syndromae myelodysplasticae aliae
D46.9|Mijelodisplazijski sindrom ,neoznačen|Syndroma myelodysplastica
D47|Drugi tumori limfoidnog,hematopoeznog i srodnih tkiva|Neoplasma telae lymphaticae,hematopoieticae et telarum affinium aluid
D47.0|Histiocitni i mastocitni tumor|Histiocytoma et mastocytoma
D47.1|Hronična mijeloproliferativna bolest|Morbus myeloproliferativus chronicus
D47.2|Monoklonska gamopatija|Gammopathia monoclonalis
D47.3|Primarno povećanje broja krvnih pločica (hemoragijsko)|Throbocythaemia idiopathica (haemorrhagica)
D47.7|Druga limfoproliferativna bolest|Morbus lymphoproliferativus alius
D47.9|Limfoproliferativna bolest,neoznačena|Morbus lymphoproliferativus,non specificatus
D48|Neoplasma neodređene ili nepoznate druge lokalizacije|Neoplasma indefinitum sive ignotum,loci alterius
D50|Slabokrvnost uzrokovana nedostatkom gvožđa|Anaemia sideropenica
D50.0|Sekundarna slabokrvnost uzrokovana nedostatkom gvožđa|Anaemia sideropenica secundaria
D50.1|Smetnje gutanja uzrokovane nedostatkom gvožđa|Dysphagia sideropenica
D50.8|Druga slabokrvnost uzrokovana nedostakom gvožđa|Anaemia sideropenica alia
D50.9|Slabokrvnost uzrokovana nedostatkom gvožđa,neoznačena|Anaemia sideropenica,non specificata
D51|Slabokrvnost uzrokovana nedostatkom vitamina B12|Anaemia perniciosa(Anaemia propter deficientiam vitamini B12)
D51.0|Slabokrvnost uzrokovana nedostatkom vitamina B12 usled nedostatka unutrašnjeg činioca|Anaemia deficientia vitamini B12 excitata propter deficientiam factoris interni
D51.1|Slabokrvnost uzrokovana nedostatkom vitamina B12 usled selektivne slabe apsorpcije vitamina B12 i pr|Anaemia deficientia vitamini B12 excitata propter malabsorbtionem vit.B12 selectivam et proteinuriam
D51.2|Nedostatak transkobalamina II|Deficientia transcobalamini II
D51.3|Druga slabokrvnost uzrokovana nedostatkom vitamina B12 u ishrani|Anaemia nutritionalis alia propter deficientiam vitamini B12
D51.8|Druge slabokrvnosti uzrokovane deficitom vitamina B12|Anaemiae propter deficientiam vitamini B12 aliae
D51.9|Slabokrvnosz uzrokovana nedostatkom vitamina B12,neoznačena|Anaemia propter deficientiam vitamini B12,non specificata
D52|Slabokrvnost uzrokovana nedostatkom folata|Anaemia megaloblastica
D52.0|Slabokrvnost uzrokovana nedostatkom folata u ishrani|Anaemia nutritionalis propter deficientiam folati
D52.1|Slabokrvnost uzrokovana deficitom folata zbog lekova|Anaemia medicamentosa propter deficientiam folati
D52.8|Druge slabokrvnosti uzrokovane nedostatkom folata|Anaemiae propter deficientiam folati aliae
D52.9|Slabokrvnost uzrokovana nedostatkom folata,neoznačena|Anaemia propter deficientiam folati,non specificata
D53|Druge slabokrvnosti uzrokovane neodgovarajućom ishranom|Anaemiae nutritionales aliae
D55|Slabokrvnost uzrokovana poremećajima fermenata|Anaemia haemolytica enzymopathica
D55.0|Slabokrvnost uzrokovana nedostatkom enzima glukozo-6-fosfat-dehidrogenaze (G6PD)|Anaemia propter deficientiam enzymarum glucoso-6-phosphat-dehydrogenasis (G6PD)
D55.1|Slabokrvnost uzrokovana drugim poremećajima metabolizma glutationa|Anaemia propter disordines metabolismi glutathioni alios
D55.2|Slabokrvnost uzrokovana poremećajima glikotičkih enzima|Anaemia propter disordines enzymarum glycolyticarum
D55.3|Slabokrvnost uzrokovana poremećajima metabolizma nukleotida|Anaemia propter disordines metabolismi nucleotidorum
D55.8|Druge slabokrvnosti uzrokovane poremećajima delovanja fermenata|Anaemiae propter disordines enzymarum aliae
D55.9|Slabokrvnost zrokovana poremećajima delovanja fermenata,neoznačena|Anaemia propter disordines enzymarum,non specificata
D56|Talasanemija-porodična slabokrvnost dece|Thalassanaemia
D56.0|Alfa talasanemija|Thalassanaemia alpha
D56.1|Beta talasanemija|Thalassanaemia beta
D56.2|Delta-beta talasanemija|Thalassanaemia delta-beta
D56.3|Preteća talasanemija|Thalassanaemia minax
D56.4|Nasledni trajni hemoglobin ploda-HPFH|Haemoglobinum fetale persistens hereditarium (HPFH)
D56.8|Druge talasanemije|Thalassanaemiae aliae
D56.9|Talasanemja,neoznačena|Thalassanaemia, non specificata
D57|Bolest uzrokovana pojavom srpastih ćelija|Drepanocytosis
D57.0|Slabokrvnost uzrokovana pojavom srpastih ćelija sa krizom|Anaemia drepanocytorum cum crisi
D57.1|Slabokrvnost uzrokovana pojavom srpastih ćelija bez krize|Anaemia drepanocytorum sine crisi
D57.2|Dvostruko heterozigotni poremećaji uzrokovani pojavom srpastih ćelija|Disordines dupilciter heterozygotici cum erythorocytes drepanoformibus
D57.3|Preteća slabokrvnost uzrokovana pojavom srpastih ćelija|Anaemia drepanocytorum minax
D57.8|Druge bolesti uzrokovane pojavom srpastih ćelija|Morbi drepanocytorum alii
D58|Druge nasledne slabokrvnosti uzrokovane hemolizom|Anaemiae haemolyticae hereditariae aliae
D58.0|Nasledna sferocitoza|Sphaerocytosis hereditaria
D58.1|Nasledna eliptocitoza|Elliptocytosis hereditaria
D58.2|Druga hemoglobinopatija|Haemoglobinopathia alia
